text,sentiment
"Прекрасное обслуживание!",2
"Очень доволен визитом!",2
"Быстро, качественно и вежливо!",2
"Отличная атмосфера!",2
"Персонал очень внимательный!",2
"Все понравилось, вернусь снова!",2
"Высший класс!",2
"Ожидания полностью оправданы!",2
"Работают профессионалы!",2
"Сервис на высоте!",2
"Рекомендую всем!",2
"Все было супер!",2
"Обслуживание выше всяких похвал!",2
"Лучший сервис в городе!",2
"Все четко и оперативно!",2
"Быстрое и качественное обслуживание!",2
"Очень уютное место!",2
"Лучшее впечатление!",2
"Превзошли все ожидания!",2
"Идеальное обслуживание!",2
"Приятный персонал!",2
"Быстро решили мою проблему!",2
"Индивидуальный подход!",2
"Настоящие профессионалы!",2
"Все очень понравилось!",2
"Прекрасное отношение к клиентам!",2
"Все сделали быстро и аккуратно!",2
"Работают на совесть!",2
"Настроение после посещения отличное!",2
"Очень комфортно и приятно!",2
"Быстрая и грамотная помощь!",2
"Рад, что выбрал именно их!",2
"Огромное спасибо за сервис!",2
"Высокий уровень обслуживания!",2
"Теплый прием и качественная работа!",2
"Работают как часы!",2
"Замечательный сервис!",2
"Только положительные эмоции!",2
"Профессиональный коллектив!",2
"Очень довольна работой!",2
"Оперативно и без лишних вопросов!",2
"Все на высшем уровне!",2
"Отличный подход к делу!",2
"Довольна на все 100%!",2
"Сервис просто топ!",2
"Большое спасибо за профессионализм!",2
"Доброжелательные сотрудники!",2
"Сервис мечты!",2
"Лучшее место!",2
"Очень быстро и качественно!",2
"Потрясающий опыт!",2
"Настоящее качество!",2
"Все сделали идеально!",2
"Было приятно обратиться!",2
"Осталась довольна!",2
"Буду советовать друзьям!",2
"Отличный клиентский сервис!",2
"Очень приятно сотрудничать!",2
"Сервис на уровне премиум!",2
"Вы лучшие!",2
"Просто восхитительно!",2
"Все четко и без задержек!",2
"Качество обслуживания на высоте!",2
"Очень внимательные сотрудники!",2
"Понравилось абсолютно все!",2
"Работают быстро и четко!",2
"Все организовано безупречно!",2
"Крутая команда профессионалов!",2
"Чистота и порядок!",2
"Прекрасное отношение!",2
"Огромная благодарность!",2
"Результат превзошел ожидания!",2
"Остались только хорошие впечатления!",2
"Было очень приятно работать с вами!",2
"Все сделали быстро и качественно!",2
"Очень высокий уровень сервиса!",2
"Всем рекомендую!",2
"Прекрасное место и отличный сервис!",2
"Уровень обслуживания шикарный!",2
"Очень организованная работа!",2
"Лучшее место для клиентов!",2
"Быстро, четко и профессионально!",2
"Очень внимательный персонал!",2
"Работают на результат!",2
"Отличная работа!",2
"Результат потрясающий!",2
"Восторг от обслуживания!",2
"Довольна на все 200%!",2
"Приятное впечатление!",2
"Настоящие специалисты своего дела!",2
"Очень рекомендую!",2
"Комфорт и забота о клиенте!",2
"Превосходный сервис!",2
"Все быстро и без очередей!",2
"Очень профессионально!",2
"Лучший сервис, который я встречал!",2
"Работают быстро и качественно!",2
"Впечатления самые положительные!",2
"Очень довольны результатом!",2
"Лучшее обслуживание!",2
"Нормально, но хотелось бы быстрее",1
"В целом неплохо",1
"Ожидал немного большего",1
"Могло быть и лучше",1
"Среднее качество обслуживания",1
"Пару недочетов, но в целом ок",1
"Обычный сервис",1
"Средненько",1
"Вроде все нормально",1
"Без особых эмоций",1
"Нормальное обслуживание",1
"Немного задержали, но ок",1
"Не впечатлило, но терпимо",1
"Сойдет",1
"Проблем нет, но и восторга тоже",1
"Скорость обслуживания можно улучшить",1
"Обычное место",1
"Не плохо, но не идеально",1
"Средний уровень",1
"В следующий раз подумаю",1
"Долго ждал ответа",1
"Немного затянули",1
"Есть куда расти",1
"В целом устроило",1
"Вроде бы ничего",1
"Могли бы работать быстрее",1
"Сервис обычный",1
"Особо ничем не запомнилось",1
